America,East Asia & Pacific,Europe & Central Asia,Middle East & North Africa,South Asia,Sub-Saharan Africa
Argentina,Australia,Austria,Algeria,Bangladesh,Angola
Bahamas,Cambodia,Armenia,Djibouti,Bhutan,Benin
Barbados,China,Azerbaijan,Egypt,India,Botswana
Belize,Fiji,Belarus,Iran,Maldives,Burkina Faso
Bolivia,Indonesia,Belgium,Israel,Nepal,Burundi
Brazil,Japan,Bulgaria,Lebanon,Pakistan,Cameroon
Canada,Korea Rep.,Croatia,Qatar,Sri Lanka,Central African Rep.
Chile,Laos,Czech Rep.,Tunisia,,Chad
Colombia,Malaysia,Denmark,,,Comoros
Costa Rica,Mongolia,Estonia,,,Congo Rep.
Cuba,Myanmar,Finland,,,Cote d'Ivoire
Dominican Rep.,New Zealand,France,,,Equatorial Guinea
Ecuador,Oman,Georgia,,,Eritrea
El Salvador,Papua New Guinea,Germany,,,Gabon
Guatemala,Philippines,Greece,,,Gambia
Guyana,Singapore,Hungary,,,Ghana
Haiti,Thailand,Iceland,,,Guinea
Honduras,Vietnam,Ireland,,,Guinea-Bissau
Jamaica,,Italy,,,Kenya
Mexico,,Kazakhstan,,,Lesotho
Nicaragua,,Kyrgyzstan,,,Liberia
Panama,,Latvia,,,Madagascar
Paraguay,,Lithuania,,,Malawi
Peru,,Luxembourg,,,Mali
Suriname,,Malta,,,Mauritania
Trinidad and Tobago,,Moldova,,,Mauritius
United States,,Morocco,,,Mozambique
Uruguay,,Netherlands,,,Namibia
,,Norway,,,Niger
,,Poland,,,Nigeria
,,Portugal,,,Rwanda
,,Romania,,,Senegal
,,Russia,,,Sierra Leone
,,Serbia,,,Somalia
,,Slovak Republic,,,South Africa
,,Slovenia,,,Sudan
,,Spain,,,Swaziland
,,Sweden,,,Tanzania
,,Switzerland,,,Togo
,,Tajikistan,,,Uganda
,,Turkey,,,Zambia
,,Ukraine,,,Zimbabwe
,,United Kingdom,,,
,,Uzbekistan,,,
