Total population,1700,1730,1750,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,3280000,,,,,,,,,,,,,,,,,,,,3280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8151455,8276820,8407148,8542906,8684494,8832253,8986449,9147286,9314915,9489453,9671046,9859928,10056480,10261254,10474903,10697983,10927724,11163656,11411022,11676990,11964906,12273101,12593688,12915499,13223928,13505544,13766792,14003408,14179656,14249493,14185729,13984092,13672870,13300056,12931791,12625292,12372113,12183387,12156685,12414686,13032161,14069854,15472076,17053213,18553819,19789880,20684982,21299350,21752257,22227543,22856302,23677385,24639841,25678639,26693486,27614718,28420974,29145841,29839994,30577756,31411743,32358260,33397058,34499915
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,3710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15700,,,15700,,,,,
Albania,300000,,,,,,,,,,,,,,,,,,410445,,,,,,,,,,,,,,,,,,,,437000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500000,,,,,,,,,,,,,,,,,,,,603000,,,,,,,,,,,,,,,,,,,,726000,,,,,,,,,,800000,,,,,,,,,,874000,,,898000,,,,,,,932000,937000,942000,947000,952000,956000,962000,967000,972000,977000,982000,988000,993000,998000,1003000,1009000,1014000,1030000,1040000,1070000,1088000,1100000,1117000,1119000,1122000,1138000,1154000,1175000,1192000,1209000,1215002,1239971,1269302,1302536,1339240,1378998,1421417,1466124,1512765,1561012,1610565,1661158,1712563,1764593,1817098,1869942,1922993,1976140,2029314,2082474,2135599,2188650,2241623,2294578,2347607,2400801,2454255,2508026,2562121,2616530,2671300,2725029,2777592,2831682,2891004,2957390,3033393,3116009,3194854,3255859,3289483,3291695,3266983,3224901,3179442,3141102,3112597,3091902,3079037,3072725,3071856,3077378,3089778,3106701,3124861,3141800,3156607,3169665,3181397,3192723,3204284,3215988,3227373,3238316
Algeria,1750000,,,,,,,,,,,,,,,,,,2503218,,,,,,,,,,,,,,,,,,,,2689000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3776000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5497000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8752997,8953373,9140990,9326099,9515990,9715002,9924347,10142284,10364614,10585506,10799997,11006643,11209845,11420845,11654905,11923002,12229853,12572629,12945462,13338918,13746185,14165889,14600659,15052371,15524137,16018195,16533323,17068212,17624756,18205468,18811199,19442423,20095648,20762767,21433070,22098298,22753511,23398470,24035237,24668100,25299182,25930560,26557969,27169903,27751086,28291591,28786855,29242917,29673694,30099010,30533827,30982214,31441848,31913462,32396048,32888449,33391954,33906605,34428028,34950168,35468208,35980193,36485828,36983924
American Samoa,7427,,,,,,,,,,,,,,,,,,8170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700,,,,,,,,,,,,7300,,,,,,,,8100,,,,,,,,,,10000,,,,,,,,,,13000,,,,,,,,,,18937,19287,19525,19659,19706,19688,19640,19603,19624,19757,20041,20500,21124,21870,22672,23480,24283,25087,25869,26608,27288,27907,28470,28983,29453,29897,30305,30696,31139,31727,32526,33557,34797,36203,37706,39253,40834,42446,44048,45595,47052,48402,49648,50801,51885,52919,53901,54834,55745,56667,57625,58633,59687,60774,61871,62962,64045,65130,66217,67312,68420,69543,70680,71834
Andorra,,,,,,,,,,,,,,,,,,,2654,,,,,,,,,,,,,,,,,,,,2654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6197,6692,7247,7856,8514,9217,9964,10754,11585,12460,13377,14337,15337,16373,17438,18529,19640,20772,21931,23127,24364,25656,26997,28357,29688,30967,32156,33279,34432,35753,37328,39226,41390,43636,45702,47414,48653,49504,50236,51241,52773,54996,57767,60670,63111,64699,65227,64905,64246,63985,64634,66390,69043,72203,75292,77888,79874,81390,82577,83677,84864,86165,87518,88909
Angola,,,,,,,,,,,,,,,,,,,1567028,,,,,,,,,,,,,,,,,,,,1567028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3738000,,,,,,,,,,4147509,4219332,4296534,4376947,4458962,4541519,4624143,4706909,4790376,4875462,4963068,5053693,5147083,5242084,5337063,5431135,5524090,5617242,5713156,5815282,5926333,6047736,6179685,6322194,6474796,6637419,6808850,6989988,7185188,7400231,7638420,7903368,8191774,8491682,8786652,9065562,9322550,9562796,9799680,10052567,10335052,10653515,11002910,11371750,11742960,12105105,12452725,12792237,13138265,13511575,13926373,14388244,14890474,15419943,15957460,16489021,17010366,17525367,18037964,18555115,19081912,19618432,20162517,20714494
Anguilla,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5121,5297,5438,5549,5635,5697,5743,5777,5805,5831,5863,5901,5948,6001,6057,6114,6171,6228,6287,6344,6400,6454,6506,6554,6596,6630,6662,6691,6713,6716,6698,6651,6586,6536,6551,6661,6881,7197,7575,7964,8332,8669,8985,9277,9549,9805,10036,10244,10461,10727,11068,11498,12003,12548,13083,13574,14008,14393,14737,15055,15358,15645,15911,16158
